Day,Tips,Cash Amount,Sales,Number of Covers,Average Check Amount,Total Number of Checks
Friday,286.73,244.06,1910.59,63,27.84,34
Tuesday,157.58,0,910.32,27,30.14,16
Monday,147.18,0,927.33,27,30.47,21
Wednesday,277.88,36.82,1650.97,51,28.67,26
Tuesday,177.55,44.64,1124.7,35,26.79,23
Wednesday,198.88,47.18,1255,40,31.25,19
Thursday,98.19,0,765.47,18,38.81,9
Friday,241.27,152.85,1701.5,41,36.63,28
Thursday,178.35,0,1061.81,32,34.14,12
Wednesday,99.17,88.57,698.68,26,24.97,12
Monday,248.43,49.76,1563.54,45,31.39,21
Tuesday,254.29,136.46,1698.54,37,40.68,16
Monday,215.35,154.53,1510.33,44,29.97,17
Monday,179.7,145.49,1308.1,33,35.15,12
Thursday,240.91,63.35,1527.97,35,40.9,24
Friday,138.67,21.47,1015.92,32,25.26,22
Monday,175.77,0,1126.44,33,30.38,21
Wednesday,135.57,191.83,1035.24,34,27.93,20
Tuesday,84.32,100.06,599.43,20,26.63,14
Thursday,167.15,214.71,1210.24,35,30.6,20
Wednesday,148.66,40.69,1058.72,35,27.35,20
Monday,218.27,0,874.08,42,25.08,12
Monday,210.84,337.59,1825.79,50,33.32,31
Tuesday,156.42,134.08,1169.43,33,31.51,15
Thursday,188.66,48.77,1188.93,43,25.38,26
