Day,Tips,Cash Amount,Sales,Number of Covers,Average Check Amount,Total Number of Checks
Wednesday,115.54,0,736.37,27,31.36,12
Friday,182.56,191.88,1264.89,28,40.02,16
Thursday,287.23,247.26,1859.73,40,40.29,27
Friday,231.78,270.65,1882.36,36,46.32,25
Sunday,29.03,0,266.9,11,21.49,4
Saturday,202.08,190.49,1393.66,30,41.21,22
Saturday,193.41,70.1,1246.14,28,38.9,19
Sunday,65,26.56,643.81,20,17.98,10
Thursday,230.67,125.12,1547.3,30,45.71,19
Sunday,135.04,107.35,1094.02,34,29.29,16
Monday,156.8,0,955.48,15,58.73,3
Saturday,280.55,457.19,2107.97,66,26.18,46
Friday,120.45,97.2,840.45,23,31.14,15
Thursday,77.26,155.1,622.66,20,30.13,11
Monday,27.76,0,138.14,4,30.56,2
Monday,97.75,0,605.14,17,37.28,5
Saturday,256.7,60.88,1812.43,47,30.71,31
Wednesday,141.16,62.15,860.22,21,33.95,14
Thursday,123.34,200.53,921.76,25,32.65,22
Thursday,70.9,19.21,458.73,17,23.88,15
Sunday,144.81,0,1051.21,26,35.78,8
Wednesday,139.5,0,869.96,24,34.91,11
Monday,40.64,0,349.21,9,35.19,4
Wednesday,32.35,0,412.21,9,40.72,7
Friday,144.3,361.62,1658.55,41,35.54,20
Monday,46.15,0,310.02,11,25.55,7
Friday,144.3,361.62,1658.55,41,35.54,20
Friday,44.01,67.81,346.9,11,29.89,4
Sunday,25.06,0,199.46,5,35.3,2
Friday,87.24,151.07,782.55,21,34.22,12
Friday,107.7,101.98,893.68,24,32.99,11
Saturday,210.41,196.47,1624.82,53,32.44,27
Saturday,85.17,251.55,781.78,23,30.3,10
Saturday,121.48,0,961.15,32,36.7,7
Thursday,224.62,69.86,1606.92,35,40.24,21
Friday,105.27,18.08,676.77,19,31.52,18
Sunday,71.8,0,509.83,15,29.45,5
Saturday,134.65,78.54,910.71,29,30.56,11
Saturday,46.71,0,324.33,12,26.46,4
Wednesday,193.99,56.56,1219.19,32,33.72,18
Friday,143.94,151.35,1049.83,30,29.03,12
Saturday,186.66,181.19,1191.48,32,33,22
Sunday,161.41,134.78,1615.74,50,28.01,21
